Time,Hari 1 - Wireless,Hari 2 - Wireless,Hari 3 - Wireless
2023-07-07 9:08:13,47.7,34.64,24.79
2023-07-07 9:08:15,34.2,46.55,209.91
2023-07-07 9:08:18,67.79,39.94,147.82
2023-07-07 9:08:20,38.28,40.14,32.09
2023-07-07 9:08:23,36.96,30.05,31.23
2023-07-07 9:08:25,47.21,28.44,342.48
2023-07-07 9:08:28,47.26,30.9,142.91
2023-07-07 9:08:30,60.92,25.75,102.71
2023-07-07 9:08:33,47.66,33.22,55.7
2023-07-07 9:08:35,39.72,36.64,36.3
2023-07-07 9:08:38,64.3,52.44,63.17
2023-07-07 9:08:40,65.97,25.76,46.76
2023-07-07 9:08:43,29,34.81,37.15
2023-07-07 9:08:45,27.93,73.95,114.42
2023-07-07 9:08:48,27.11,34.75,27.37
2023-07-07 9:08:50,32.86,46.01,36.52
2023-07-07 9:08:53,28.87,39.41,41.62
2023-07-07 9:08:55,31.22,52.03,39.07
2023-07-07 9:08:58,27.71,40.4,27.49
2023-07-07 9:09:00,30.13,38.47,32.28
2023-07-07 9:09:03,58.26,45.14,39.1
2023-07-07 9:09:05,136.84,57.13,32.17
2023-07-07 9:09:08,27.39,44.75,136.06
2023-07-07 9:09:10,32.25,25.69,28.68
2023-07-07 9:09:13,41.56,54.82,117.94
2023-07-07 9:09:15,30.91,49.1,40.16
2023-07-07 9:09:18,30.46,37.73,33.15
2023-07-07 9:09:20,29.7,48.8,30.02
2023-07-07 9:09:23,27.35,35.25,93.1
2023-07-07 9:09:25,26.63,29.06,40.12
2023-07-07 9:09:28,27.92,31.13,34.9
2023-07-07 9:09:30,27.87,55.93,38.83
2023-07-07 9:09:33,40.67,26.2,40.01
2023-07-07 9:09:35,29.79,131.88,30.56
2023-07-07 9:09:38,28.76,27.08,29.6
2023-07-07 9:09:40,29.47,25.82,37.37
2023-07-07 9:09:43,38.06,116.69,35.39
2023-07-07 9:09:45,33.32,28.89,53.46
2023-07-07 9:09:48,27.26,31.63,37.6
2023-07-07 9:09:50,31.97,29.33,39.44
2023-07-07 9:09:53,26.88,26.15,44.99
2023-07-07 9:09:55,27.45,33.29,34.17
2023-07-07 9:09:58,27.72,35.43,31.8
2023-07-07 9:10:00,33.61,45.28,31.62
2023-07-07 9:10:03,27.15,30.65,29.68
2023-07-07 9:10:05,29.68,42.21,32.23
2023-07-07 9:10:08,26.66,38.08,34.86
2023-07-07 9:10:10,27.2,65.72,37.03
2023-07-07 9:10:13,28.06,39.15,38.15
2023-07-07 9:10:15,28.28,34.68,40.33
2023-07-07 9:10:18,27.43,44.91,59.49
2023-07-07 9:10:20,30.15,29.98,35.67
2023-07-07 9:10:23,29.14,75.31,25.99
2023-07-07 9:10:25,26.57,30.04,31.48
2023-07-07 9:10:28,27.61,61.81,76.7
2023-07-07 9:10:30,30.25,37.33,44.25
2023-07-07 9:10:33,46.76,416.6,39.12
2023-07-07 9:10:35,34.7,50.18,33.42
2023-07-07 9:10:38,70.7,178,32.07
2023-07-07 9:10:40,31.99,29.91,69.02
2023-07-07 9:10:43,26.7,34.41,25.47
2023-07-07 9:10:45,31.76,52.61,28.38
2023-07-07 9:10:48,28.35,29.08,62.77
2023-07-07 9:10:50,34.72,61.33,29.39
2023-07-07 9:10:53,26.08,36.36,28.66
2023-07-07 9:10:55,49.68,65.18,30.94
2023-07-07 9:10:58,135.28,96.69,24.3
2023-07-07 9:11:00,40.83,,26.21
2023-07-07 9:11:03,104.99,41.97,71.65
2023-07-07 9:11:05,317.9,26.69,28.54
2023-07-07 9:11:08,80.02,33.71,29.54
2023-07-07 9:11:10,34.45,36.63,35.7
2023-07-07 9:11:13,36.69,43.75,26.18
2023-07-07 9:11:15,31.74,178.8,30.14
2023-07-07 9:11:18,38.93,222.04,26.55
2023-07-07 9:11:20,76.01,36.58,39.82
2023-07-07 9:11:23,27.04,35.26,26.53
2023-07-07 9:11:25,58.66,152.3,56
2023-07-07 9:11:28,27.82,40.88,39.11
2023-07-07 9:11:30,41.29,28.16,81.86
2023-07-07 9:11:33,37,32.76,61.49
2023-07-07 9:11:35,67,,27.79
2023-07-07 9:11:38,26.62,25.98,51.07
2023-07-07 9:11:40,27.35,176.83,29.8
2023-07-07 9:11:43,29.49,29.01,26.85
2023-07-07 9:11:45,29.44,134.85,26.8
2023-07-07 9:11:48,33.82,33.06,25.57
2023-07-07 9:11:50,90.17,279.21,31.71
2023-07-07 9:11:53,32.06,,29.35
2023-07-07 9:11:55,277.96,70,34.79
2023-07-07 9:11:58,27.38,53.1,34.48
2023-07-07 9:12:00,75.42,32.17,60.89
2023-07-07 9:12:03,46.43,38.72,29.81
2023-07-07 9:12:05,59.2,25.4,36.22
2023-07-07 9:12:08,80.33,32.55,27.42
2023-07-07 9:12:10,51.92,25.66,35.75
2023-07-07 9:12:13,29.59,31.13,28.64
2023-07-07 9:12:15,36.72,25.97,27.62
2023-07-07 9:12:18,35.97,60.36,31.71
2023-07-07 9:12:20,34.57,76.83,32.1
2023-07-07 9:12:23,35.79,26.49,39.62
2023-07-07 9:12:25,27.96,31.2,28.2
2023-07-07 9:12:28,43.16,25.6,30.26
2023-07-07 9:12:30,50.24,25.9,60.35
2023-07-07 9:12:33,45.53,211.35,46.6
2023-07-07 9:12:35,29.64,27.32,31.74
2023-07-07 9:12:38,43.34,26.36,30.47
2023-07-07 9:12:40,32.15,32.5,46.24
2023-07-07 9:12:43,28.31,32.96,29.99
2023-07-07 9:12:45,41.89,27.33,26.07
2023-07-07 9:12:48,50.64,30.73,30.28
2023-07-07 9:12:50,41.48,98.51,31.83
2023-07-07 9:12:53,30.36,25.79,30.08
2023-07-07 9:12:55,45.84,25.69,24.61
2023-07-07 9:12:58,32.93,27.78,31.94
2023-07-07 9:13:00,30.32,26.76,33.38
2023-07-07 9:13:03,58.04,26.57,31.3
2023-07-07 9:13:05,27.34,30.63,26.76
2023-07-07 9:13:08,29.75,34.02,33.46
2023-07-07 9:13:10,29.59,26.29,41.21
2023-07-07 9:13:13,32.05,,36.99
2023-07-07 9:13:15,60,,
2023-07-07 9:13:18,28.83,,
2023-07-07 9:13:20,29.45,,
2023-07-07 9:13:23,31.05,,
2023-07-07 9:13:25,40.97,,
2023-07-07 9:13:28,50.76,,
2023-07-07 9:13:30,29.82,,
2023-07-07 9:13:33,32.07,,
2023-07-07 9:13:35,33.01,,
2023-07-07 9:13:38,30.64,,
2023-07-07 9:13:40,64.35,,
2023-07-07 9:13:43,47.12,,
2023-07-07 9:13:45,40.83,,
2023-07-07 9:13:48,39.79,,
2023-07-07 9:13:50,55.56,,
2023-07-07 9:13:53,27.6,,
2023-07-07 9:13:55,42.86,,
2023-07-07 9:13:58,56.27,,
2023-07-07 9:14:00,31.03,,
2023-07-07 9:14:03,29.22,,
2023-07-07 9:14:05,46.22,,
2023-07-07 9:14:08,33.11,,
2023-07-07 9:14:10,57.2,,
2023-07-07 9:14:13,35.25,,
2023-07-07 9:14:15,38.3,,
2023-07-07 9:14:18,57.42,,
2023-07-07 9:14:20,42.66,,
2023-07-07 9:14:23,43.29,,
2023-07-07 9:14:25,44.94,,
2023-07-07 9:14:28,35.28,,
2023-07-07 9:14:30,28.5,,
2023-07-07 9:14:33,27.49,,
2023-07-07 9:14:35,46.53,,
2023-07-07 9:14:38,46.86,,
2023-07-07 9:14:40,51.66,,
2023-07-07 9:14:43,35.82,,
2023-07-07 9:14:45,33.02,,
2023-07-07 9:14:48,45.7,,
2023-07-07 9:14:50,32.54,,
2023-07-07 9:14:53,51.05,,
2023-07-07 9:14:55,29.47,,
2023-07-07 9:14:58,33.02,,
2023-07-07 9:15:00,48.85,,
2023-07-07 9:15:03,40.62,,
2023-07-07 9:15:05,32,,
2023-07-07 9:15:08,36.17,,
2023-07-07 9:15:10,31.68,,
2023-07-07 9:15:13,34.66,,
2023-07-07 9:15:15,,,
2023-07-07 9:15:18,,,
2023-07-07 9:15:20,,,
2023-07-07 9:15:23,,,
2023-07-07 9:15:25,,,
2023-07-07 9:15:28,,,
2023-07-07 9:15:30,,,
2023-07-07 9:15:33,,,
2023-07-07 9:15:36,,,
2023-07-07 9:15:38,,,
2023-07-07 9:15:41,,,
2023-07-07 9:15:43,,,
2023-07-07 9:15:46,,,
2023-07-07 9:15:48,,,
2023-07-07 9:15:51,,,
2023-07-07 9:15:53,,,
2023-07-07 9:15:56,,,
2023-07-07 9:15:58,,,
2023-07-07 9:16:01,,,
2023-07-07 9:16:03,,,
2023-07-07 9:16:06,,,
2023-07-07 9:16:08,,,
2023-07-07 9:16:11,,,
2023-07-07 9:16:13,,,
2023-07-07 9:16:16,,,
2023-07-07 9:16:18,,,
2023-07-07 9:16:21,,,
2023-07-07 9:16:23,,,
2023-07-07 9:16:26,,,
2023-07-07 9:16:28,,,
2023-07-07 9:16:31,,,
2023-07-07 9:16:33,,,
2023-07-07 9:16:36,,,
2023-07-07 9:16:38,,,
2023-07-07 9:16:41,,,
2023-07-07 9:16:43,,,
2023-07-07 9:16:46,,,
2023-07-07 9:16:48,,,
2023-07-07 9:16:51,,,
2023-07-07 9:16:53,,,
2023-07-07 9:16:56,,,
2023-07-07 9:16:58,,,
2023-07-07 9:17:01,,,
2023-07-07 9:17:03,,,
2023-07-07 9:17:06,,,
2023-07-07 9:17:08,,,
2023-07-07 9:17:11,,,
2023-07-07 9:17:13,,,
2023-07-07 9:17:16,,,
2023-07-07 9:17:18,,,
2023-07-07 9:17:21,,,
2023-07-07 9:17:23,,,
2023-07-07 9:17:26,,,
2023-07-07 9:17:28,,,
2023-07-07 9:17:31,,,
2023-07-07 9:17:33,,,
2023-07-07 9:17:36,,,
2023-07-07 9:17:38,,,
2023-07-07 9:17:41,,,
2023-07-07 9:17:43,,,
2023-07-07 9:17:46,,,
2023-07-07 9:17:48,,,
2023-07-07 9:17:51,,,
2023-07-07 9:17:53,,,
2023-07-07 9:17:56,,,
2023-07-07 9:17:58,,,
2023-07-07 9:18:01,,,
2023-07-07 9:18:03,,,
2023-07-07 9:18:06,,,
2023-07-07 9:18:08,,,
2023-07-07 9:18:11,,,
2023-07-07 9:18:13,,,